mapping_id,resource_id,skill_id,skill_name,coverage_score
RSK0001,RES0001,SK001,Python Basics,1.0
RSK0002,RES0002,SK001,Python Basics,1.0
RSK0003,RES0003,SK001,Python Basics,1.0
RSK0004,RES0004,SK002,Git & Version Control,1.0
RSK0005,RES0004,SK001,Python Basics,0.3
RSK0006,RES0005,SK002,Git & Version Control,1.0
RSK0007,RES0005,SK001,Python Basics,0.3
RSK0008,RES0006,SK002,Git & Version Control,1.0
RSK0009,RES0006,SK001,Python Basics,0.3
RSK0010,RES0007,SK003,Python Data Structures,1.0
RSK0011,RES0007,SK001,Python Basics,0.3
RSK0012,RES0008,SK003,Python Data Structures,1.0
RSK0013,RES0008,SK001,Python Basics,0.3
RSK0014,RES0009,SK003,Python Data Structures,1.0
RSK0015,RES0009,SK001,Python Basics,0.3
RSK0016,RES0010,SK004,Java Basics,1.0
RSK0017,RES0010,SK001,Python Basics,0.3
RSK0018,RES0011,SK004,Java Basics,1.0
RSK0019,RES0011,SK001,Python Basics,0.3
RSK0020,RES0012,SK004,Java Basics,1.0
RSK0021,RES0012,SK001,Python Basics,0.3
RSK0022,RES0013,SK005,OOP in Python,1.0
RSK0023,RES0013,SK003,Python Data Structures,0.3
RSK0024,RES0014,SK005,OOP in Python,1.0
RSK0025,RES0014,SK003,Python Data Structures,0.3
RSK0026,RES0015,SK005,OOP in Python,1.0
RSK0027,RES0015,SK003,Python Data Structures,0.3
RSK0028,RES0016,SK006,C++ Basics,1.0
RSK0029,RES0016,SK001,Python Basics,0.3
RSK0030,RES0017,SK006,C++ Basics,1.0
RSK0031,RES0017,SK001,Python Basics,0.3
RSK0032,RES0018,SK006,C++ Basics,1.0
RSK0033,RES0018,SK001,Python Basics,0.3
RSK0034,RES0019,SK007,Data Structures & Algorithms,1.0
RSK0035,RES0019,SK005,OOP in Python,0.3
RSK0036,RES0020,SK007,Data Structures & Algorithms,1.0
RSK0037,RES0020,SK005,OOP in Python,0.3
RSK0038,RES0021,SK007,Data Structures & Algorithms,1.0
RSK0039,RES0021,SK005,OOP in Python,0.3
RSK0040,RES0022,SK008,Problem Solving (DSA Practice),1.0
RSK0041,RES0022,SK007,Data Structures & Algorithms,0.3
RSK0042,RES0023,SK008,Problem Solving (DSA Practice),1.0
RSK0043,RES0023,SK007,Data Structures & Algorithms,0.3
RSK0044,RES0024,SK008,Problem Solving (DSA Practice),1.0
RSK0045,RES0024,SK007,Data Structures & Algorithms,0.3
RSK0046,RES0025,SK009,Competitive Programming,1.0
RSK0047,RES0025,SK008,Problem Solving (DSA Practice),0.3
RSK0048,RES0026,SK009,Competitive Programming,1.0
RSK0049,RES0026,SK008,Problem Solving (DSA Practice),0.3
RSK0050,RES0027,SK009,Competitive Programming,1.0
RSK0051,RES0027,SK008,Problem Solving (DSA Practice),0.3
RSK0052,RES0028,SK010,System Design Basics,1.0
RSK0053,RES0028,SK007,Data Structures & Algorithms,0.3
RSK0054,RES0029,SK010,System Design Basics,1.0
RSK0055,RES0029,SK007,Data Structures & Algorithms,0.3
RSK0056,RES0030,SK010,System Design Basics,1.0
RSK0057,RES0030,SK007,Data Structures & Algorithms,0.3
RSK0058,RES0031,SK011,Descriptive Statistics,1.0
RSK0059,RES0032,SK011,Descriptive Statistics,1.0
RSK0060,RES0033,SK011,Descriptive Statistics,1.0
RSK0061,RES0034,SK012,SQL Basics,1.0
RSK0062,RES0035,SK012,SQL Basics,1.0
RSK0063,RES0036,SK012,SQL Basics,1.0
RSK0064,RES0037,SK013,Excel for Data Analysis,1.0
RSK0065,RES0038,SK013,Excel for Data Analysis,1.0
RSK0066,RES0039,SK013,Excel for Data Analysis,1.0
RSK0067,RES0040,SK014,Linear Algebra,1.0
RSK0068,RES0041,SK014,Linear Algebra,1.0
RSK0069,RES0042,SK014,Linear Algebra,1.0
RSK0070,RES0043,SK015,Probability Fundamentals,1.0
RSK0071,RES0043,SK011,Descriptive Statistics,0.3
RSK0072,RES0044,SK015,Probability Fundamentals,1.0
RSK0073,RES0044,SK011,Descriptive Statistics,0.3
RSK0074,RES0045,SK015,Probability Fundamentals,1.0
RSK0075,RES0045,SK011,Descriptive Statistics,0.3
RSK0076,RES0046,SK016,Data Visualization,1.0
RSK0077,RES0046,SK013,Excel for Data Analysis,0.3
RSK0078,RES0047,SK016,Data Visualization,1.0
RSK0079,RES0047,SK013,Excel for Data Analysis,0.3
RSK0080,RES0048,SK016,Data Visualization,1.0
RSK0081,RES0048,SK013,Excel for Data Analysis,0.3
RSK0082,RES0049,SK017,Inferential Statistics,1.0
RSK0083,RES0049,SK015,Probability Fundamentals,0.3
RSK0084,RES0050,SK017,Inferential Statistics,1.0
RSK0085,RES0050,SK015,Probability Fundamentals,0.3
RSK0086,RES0051,SK017,Inferential Statistics,1.0
RSK0087,RES0051,SK015,Probability Fundamentals,0.3
RSK0088,RES0052,SK018,Exploratory Data Analysis,1.0
RSK0089,RES0052,SK016,Data Visualization,0.3
RSK0090,RES0053,SK018,Exploratory Data Analysis,1.0
RSK0091,RES0053,SK016,Data Visualization,0.3
RSK0092,RES0054,SK018,Exploratory Data Analysis,1.0
RSK0093,RES0054,SK016,Data Visualization,0.3
RSK0094,RES0055,SK019,Advanced SQL,1.0
RSK0095,RES0055,SK012,SQL Basics,0.3
RSK0096,RES0056,SK019,Advanced SQL,1.0
RSK0097,RES0056,SK012,SQL Basics,0.3
RSK0098,RES0057,SK019,Advanced SQL,1.0
RSK0099,RES0057,SK012,SQL Basics,0.3
RSK0100,RES0058,SK020,Calculus for ML,1.0
RSK0101,RES0058,SK014,Linear Algebra,0.3
RSK0102,RES0059,SK020,Calculus for ML,1.0
RSK0103,RES0059,SK014,Linear Algebra,0.3
RSK0104,RES0060,SK020,Calculus for ML,1.0
RSK0105,RES0060,SK014,Linear Algebra,0.3
RSK0106,RES0061,SK021,ML Foundations,1.0
RSK0107,RES0061,SK017,Inferential Statistics,0.3
RSK0108,RES0062,SK021,ML Foundations,1.0
RSK0109,RES0062,SK017,Inferential Statistics,0.3
RSK0110,RES0063,SK021,ML Foundations,1.0
RSK0111,RES0063,SK017,Inferential Statistics,0.3
RSK0112,RES0064,SK022,Regression Techniques,1.0
RSK0113,RES0064,SK021,ML Foundations,0.3
RSK0114,RES0065,SK022,Regression Techniques,1.0
RSK0115,RES0065,SK021,ML Foundations,0.3
RSK0116,RES0066,SK022,Regression Techniques,1.0
RSK0117,RES0066,SK021,ML Foundations,0.3
RSK0118,RES0067,SK023,Classification Techniques,1.0
RSK0119,RES0067,SK022,Regression Techniques,0.3
RSK0120,RES0068,SK023,Classification Techniques,1.0
RSK0121,RES0068,SK022,Regression Techniques,0.3
RSK0122,RES0069,SK023,Classification Techniques,1.0
RSK0123,RES0069,SK022,Regression Techniques,0.3
RSK0124,RES0070,SK024,Model Evaluation,1.0
RSK0125,RES0070,SK023,Classification Techniques,0.3
RSK0126,RES0071,SK024,Model Evaluation,1.0
RSK0127,RES0071,SK023,Classification Techniques,0.3
RSK0128,RES0072,SK024,Model Evaluation,1.0
RSK0129,RES0072,SK023,Classification Techniques,0.3
RSK0130,RES0073,SK025,Feature Engineering,1.0
RSK0131,RES0073,SK024,Model Evaluation,0.3
RSK0132,RES0074,SK025,Feature Engineering,1.0
RSK0133,RES0074,SK024,Model Evaluation,0.3
RSK0134,RES0075,SK025,Feature Engineering,1.0
RSK0135,RES0075,SK024,Model Evaluation,0.3
RSK0136,RES0076,SK026,Ensemble Methods,1.0
RSK0137,RES0076,SK025,Feature Engineering,0.3
RSK0138,RES0077,SK026,Ensemble Methods,1.0
RSK0139,RES0077,SK025,Feature Engineering,0.3
RSK0140,RES0078,SK026,Ensemble Methods,1.0
RSK0141,RES0078,SK025,Feature Engineering,0.3
RSK0142,RES0079,SK027,Neural Networks,1.0
RSK0143,RES0079,SK014,Linear Algebra,0.3
RSK0144,RES0080,SK027,Neural Networks,1.0
RSK0145,RES0080,SK014,Linear Algebra,0.3
RSK0146,RES0081,SK027,Neural Networks,1.0
RSK0147,RES0081,SK014,Linear Algebra,0.3
RSK0148,RES0082,SK028,Deep Learning,1.0
RSK0149,RES0082,SK027,Neural Networks,0.3
RSK0150,RES0083,SK028,Deep Learning,1.0
RSK0151,RES0083,SK027,Neural Networks,0.3
RSK0152,RES0084,SK028,Deep Learning,1.0
RSK0153,RES0084,SK027,Neural Networks,0.3
RSK0154,RES0085,SK029,Computer Vision,1.0
RSK0155,RES0085,SK028,Deep Learning,0.3
RSK0156,RES0086,SK029,Computer Vision,1.0
RSK0157,RES0086,SK028,Deep Learning,0.3
RSK0158,RES0087,SK029,Computer Vision,1.0
RSK0159,RES0087,SK028,Deep Learning,0.3
RSK0160,RES0088,SK030,Natural Language Processing,1.0
RSK0161,RES0088,SK028,Deep Learning,0.3
RSK0162,RES0089,SK030,Natural Language Processing,1.0
RSK0163,RES0089,SK028,Deep Learning,0.3
RSK0164,RES0090,SK030,Natural Language Processing,1.0
RSK0165,RES0090,SK028,Deep Learning,0.3
RSK0166,RES0091,SK031,HTML & CSS,1.0
RSK0167,RES0092,SK031,HTML & CSS,1.0
RSK0168,RES0093,SK031,HTML & CSS,1.0
RSK0169,RES0094,SK032,JavaScript Basics,1.0
RSK0170,RES0094,SK031,HTML & CSS,0.3
RSK0171,RES0095,SK032,JavaScript Basics,1.0
RSK0172,RES0095,SK031,HTML & CSS,0.3
RSK0173,RES0096,SK032,JavaScript Basics,1.0
RSK0174,RES0096,SK031,HTML & CSS,0.3
RSK0175,RES0097,SK033,Responsive UI Design,1.0
