learner_skill_id,learner_id,skill_id,skill_name,mastery_score,mastery_band,confidence_score,evidence_strength,source
LSK00001,LRN0001,SK012,SQL Basics,0.095,novice,0.05,0.89,diagnostic_and_practice
LSK00002,LRN0001,SK019,Advanced SQL,0.449,developing,0.568,0.64,diagnostic_and_practice
LSK00003,LRN0001,SK013,Excel for Data Analysis,0.57,competent,0.477,0.79,diagnostic_and_practice
LSK00004,LRN0001,SK016,Data Visualization,0.696,proficient,0.814,0.63,diagnostic_and_practice
LSK00005,LRN0001,SK011,Descriptive Statistics,0.903,advanced,0.804,0.56,diagnostic_and_practice
LSK00006,LRN0001,SK018,Exploratory Data Analysis,0.225,novice,0.204,0.75,diagnostic_and_practice
LSK00007,LRN0001,SK001,Python Basics,0.294,developing,0.383,0.63,diagnostic_and_practice
LSK00008,LRN0001,SK002,Git & Version Control,0.489,competent,0.473,0.75,diagnostic_and_practice
LSK00009,LRN0001,SK008,Problem Solving (DSA Practice),0.743,proficient,0.691,0.83,diagnostic_and_practice
LSK00010,LRN0002,SK003,Python Data Structures,0.319,developing,0.419,0.78,diagnostic_and_practice
LSK00011,LRN0002,SK017,Inferential Statistics,0.527,competent,0.448,0.41,diagnostic_and_practice
LSK00012,LRN0002,SK021,ML Foundations,0.656,proficient,0.545,0.49,diagnostic_and_practice
LSK00013,LRN0002,SK022,Regression Techniques,0.862,advanced,0.869,0.55,diagnostic_and_practice
LSK00014,LRN0002,SK023,Classification Techniques,0.065,novice,0.064,0.69,diagnostic_and_practice
LSK00015,LRN0002,SK024,Model Evaluation,0.322,developing,0.251,0.78,diagnostic_and_practice
LSK00016,LRN0002,SK001,Python Basics,0.583,competent,0.676,0.8,diagnostic_and_practice
LSK00017,LRN0002,SK002,Git & Version Control,0.831,proficient,0.843,0.44,diagnostic_and_practice
LSK00018,LRN0002,SK008,Problem Solving (DSA Practice),0.963,advanced,0.909,0.5,diagnostic_and_practice
LSK00019,LRN0003,SK021,ML Foundations,0.506,competent,0.596,0.47,diagnostic_and_practice
LSK00020,LRN0003,SK025,Feature Engineering,0.662,proficient,0.584,0.48,diagnostic_and_practice
LSK00021,LRN0003,SK027,Neural Networks,0.957,advanced,0.89,0.4,diagnostic_and_practice
LSK00022,LRN0003,SK028,Deep Learning,0.144,novice,0.238,0.75,diagnostic_and_practice
LSK00023,LRN0003,SK050,Model Deployment,0.41,developing,0.479,0.56,diagnostic_and_practice
LSK00024,LRN0003,SK024,Model Evaluation,0.573,competent,0.656,0.55,diagnostic_and_practice
LSK00025,LRN0003,SK001,Python Basics,0.686,proficient,0.681,0.77,diagnostic_and_practice
LSK00026,LRN0003,SK002,Git & Version Control,0.922,advanced,0.892,0.46,diagnostic_and_practice
LSK00027,LRN0003,SK008,Problem Solving (DSA Practice),0.109,novice,0.09,0.82,diagnostic_and_practice
LSK00028,LRN0004,SK031,HTML & CSS,0.738,proficient,0.822,0.59,diagnostic_and_practice
LSK00029,LRN0004,SK032,JavaScript Basics,0.88,advanced,0.98,0.74,diagnostic_and_practice
LSK00030,LRN0004,SK035,React Fundamentals,0.248,novice,0.191,0.83,diagnostic_and_practice
LSK00031,LRN0004,SK036,Node.js Basics,0.358,developing,0.335,0.62,diagnostic_and_practice
LSK00032,LRN0004,SK037,REST API Design,0.556,competent,0.555,0.62,diagnostic_and_practice
LSK00033,LRN0004,SK034,Database Design (RDBMS),0.698,proficient,0.75,0.89,diagnostic_and_practice
LSK00034,LRN0004,SK001,Python Basics,0.965,advanced,0.89,0.44,diagnostic_and_practice
LSK00035,LRN0004,SK002,Git & Version Control,0.245,novice,0.189,0.56,diagnostic_and_practice
LSK00036,LRN0004,SK008,Problem Solving (DSA Practice),0.428,developing,0.391,0.45,diagnostic_and_practice
LSK00037,LRN0005,SK019,Advanced SQL,0.9,advanced,0.875,0.33,diagnostic_and_practice
LSK00038,LRN0005,SK051,Data Modeling,0.2,novice,0.166,0.78,diagnostic_and_practice
LSK00039,LRN0005,SK053,ETL Fundamentals,0.408,developing,0.38,0.4,diagnostic_and_practice
LSK00040,LRN0005,SK057,Apache Spark Basics,0.611,competent,0.604,0.51,diagnostic_and_practice
LSK00041,LRN0005,SK054,Data Warehousing,0.843,proficient,0.931,0.64,diagnostic_and_practice
LSK00042,LRN0005,SK060,Data Pipeline Design,0.873,advanced,0.904,0.34,diagnostic_and_practice
LSK00043,LRN0005,SK001,Python Basics,0.235,novice,0.124,0.45,diagnostic_and_practice
LSK00044,LRN0005,SK002,Git & Version Control,0.313,developing,0.197,0.37,diagnostic_and_practice
LSK00045,LRN0005,SK008,Problem Solving (DSA Practice),0.457,competent,0.451,0.7,diagnostic_and_practice
LSK00046,LRN0006,SK041,Linux Fundamentals,0.102,novice,0.099,0.84,diagnostic_and_practice
LSK00047,LRN0006,SK042,Cloud Computing Basics,0.285,developing,0.245,0.83,diagnostic_and_practice
LSK00048,LRN0006,SK044,AWS Core Services,0.46,competent,0.343,0.66,diagnostic_and_practice
LSK00049,LRN0006,SK045,Docker Fundamentals,0.674,proficient,0.762,0.66,diagnostic_and_practice
LSK00050,LRN0006,SK047,Kubernetes Basics,0.934,advanced,0.908,0.49,diagnostic_and_practice
LSK00051,LRN0006,SK048,CI/CD Pipelines,0.094,novice,0.12,0.51,diagnostic_and_practice
LSK00052,LRN0006,SK001,Python Basics,0.39,developing,0.407,0.5,diagnostic_and_practice
LSK00053,LRN0006,SK002,Git & Version Control,0.615,competent,0.634,0.4,diagnostic_and_practice
LSK00054,LRN0006,SK008,Problem Solving (DSA Practice),0.763,proficient,0.684,0.3,diagnostic_and_practice
LSK00055,LRN0007,SK012,SQL Basics,0.321,developing,0.218,0.45,diagnostic_and_practice
LSK00056,LRN0007,SK019,Advanced SQL,0.633,competent,0.704,0.62,diagnostic_and_practice
LSK00057,LRN0007,SK013,Excel for Data Analysis,0.732,proficient,0.76,0.89,diagnostic_and_practice
LSK00058,LRN0007,SK016,Data Visualization,0.895,advanced,0.841,0.78,diagnostic_and_practice
LSK00059,LRN0007,SK011,Descriptive Statistics,0.145,novice,0.197,0.79,diagnostic_and_practice
LSK00060,LRN0007,SK018,Exploratory Data Analysis,0.437,developing,0.468,0.41,diagnostic_and_practice
LSK00061,LRN0007,SK001,Python Basics,0.627,competent,0.663,0.84,diagnostic_and_practice
LSK00062,LRN0007,SK002,Git & Version Control,0.799,proficient,0.886,0.43,diagnostic_and_practice
LSK00063,LRN0007,SK008,Problem Solving (DSA Practice),0.88,advanced,0.848,0.48,diagnostic_and_practice
LSK00064,LRN0008,SK003,Python Data Structures,0.53,competent,0.435,0.71,diagnostic_and_practice
LSK00065,LRN0008,SK017,Inferential Statistics,0.811,proficient,0.914,0.39,diagnostic_and_practice
LSK00066,LRN0008,SK021,ML Foundations,0.872,advanced,0.82,0.68,diagnostic_and_practice
LSK00067,LRN0008,SK022,Regression Techniques,0.204,novice,0.296,0.81,diagnostic_and_practice
LSK00068,LRN0008,SK023,Classification Techniques,0.313,developing,0.32,0.37,diagnostic_and_practice
LSK00069,LRN0008,SK024,Model Evaluation,0.505,competent,0.546,0.5,diagnostic_and_practice
LSK00070,LRN0008,SK001,Python Basics,0.702,proficient,0.629,0.41,diagnostic_and_practice
LSK00071,LRN0008,SK002,Git & Version Control,0.862,advanced,0.838,0.45,diagnostic_and_practice
LSK00072,LRN0008,SK008,Problem Solving (DSA Practice),0.115,novice,0.05,0.45,diagnostic_and_practice
LSK00073,LRN0009,SK021,ML Foundations,0.847,proficient,0.879,0.34,diagnostic_and_practice
LSK00074,LRN0009,SK025,Feature Engineering,0.863,advanced,0.916,0.77,diagnostic_and_practice
LSK00075,LRN0009,SK027,Neural Networks,0.14,novice,0.077,0.83,diagnostic_and_practice
LSK00076,LRN0009,SK028,Deep Learning,0.348,developing,0.388,0.71,diagnostic_and_practice
LSK00077,LRN0009,SK050,Model Deployment,0.51,competent,0.481,0.32,diagnostic_and_practice
LSK00078,LRN0009,SK024,Model Evaluation,0.712,proficient,0.661,0.52,diagnostic_and_practice
LSK00079,LRN0009,SK001,Python Basics,0.949,advanced,0.98,0.31,diagnostic_and_practice
LSK00080,LRN0009,SK002,Git & Version Control,0.21,novice,0.161,0.49,diagnostic_and_practice
LSK00081,LRN0009,SK008,Problem Solving (DSA Practice),0.399,developing,0.339,0.8,diagnostic_and_practice
LSK00082,LRN0010,SK031,HTML & CSS,0.866,advanced,0.876,0.51,diagnostic_and_practice
LSK00083,LRN0010,SK032,JavaScript Basics,0.205,novice,0.27,0.78,diagnostic_and_practice
LSK00084,LRN0010,SK035,React Fundamentals,0.402,developing,0.318,0.48,diagnostic_and_practice
LSK00085,LRN0010,SK036,Node.js Basics,0.538,competent,0.495,0.79,diagnostic_and_practice
LSK00086,LRN0010,SK037,REST API Design,0.825,proficient,0.798,0.84,diagnostic_and_practice
LSK00087,LRN0010,SK034,Database Design (RDBMS),0.951,advanced,0.98,0.31,diagnostic_and_practice
LSK00088,LRN0010,SK001,Python Basics,0.169,novice,0.056,0.85,diagnostic_and_practice
LSK00089,LRN0010,SK002,Git & Version Control,0.324,developing,0.279,0.64,diagnostic_and_practice
LSK00090,LRN0010,SK008,Problem Solving (DSA Practice),0.626,competent,0.632,0.46,diagnostic_and_practice
LSK00091,LRN0011,SK019,Advanced SQL,0.206,novice,0.149,0.57,diagnostic_and_practice
LSK00092,LRN0011,SK051,Data Modeling,0.259,developing,0.29,0.74,diagnostic_and_practice
LSK00093,LRN0011,SK053,ETL Fundamentals,0.602,competent,0.615,0.5,diagnostic_and_practice
LSK00094,LRN0011,SK057,Apache Spark Basics,0.799,proficient,0.697,0.86,diagnostic_and_practice
LSK00095,LRN0011,SK054,Data Warehousing,0.967,advanced,0.943,0.56,diagnostic_and_practice
LSK00096,LRN0011,SK060,Data Pipeline Design,0.217,novice,0.239,0.46,diagnostic_and_practice
LSK00097,LRN0011,SK001,Python Basics,0.406,developing,0.395,0.62,diagnostic_and_practice
LSK00098,LRN0011,SK002,Git & Version Control,0.544,competent,0.509,0.57,diagnostic_and_practice
LSK00099,LRN0011,SK008,Problem Solving (DSA Practice),0.838,proficient,0.95,0.83,diagnostic_and_practice
LSK00100,LRN0012,SK041,Linux Fundamentals,0.357,developing,0.447,0.54,diagnostic_and_practice
LSK00101,LRN0012,SK042,Cloud Computing Basics,0.567,competent,0.685,0.89,diagnostic_and_practice
LSK00102,LRN0012,SK044,AWS Core Services,0.711,proficient,0.782,0.53,diagnostic_and_practice
LSK00103,LRN0012,SK045,Docker Fundamentals,0.851,advanced,0.936,0.83,diagnostic_and_practice
LSK00104,LRN0012,SK047,Kubernetes Basics,0.094,novice,0.109,0.73,diagnostic_and_practice
LSK00105,LRN0012,SK048,CI/CD Pipelines,0.444,developing,0.383,0.38,diagnostic_and_practice
LSK00106,LRN0012,SK001,Python Basics,0.504,competent,0.426,0.69,diagnostic_and_practice
LSK00107,LRN0012,SK002,Git & Version Control,0.817,proficient,0.705,0.34,diagnostic_and_practice
LSK00108,LRN0012,SK008,Problem Solving (DSA Practice),0.968,advanced,0.882,0.82,diagnostic_and_practice
LSK00109,LRN0013,SK012,SQL Basics,0.641,competent,0.523,0.34,diagnostic_and_practice
LSK00110,LRN0013,SK019,Advanced SQL,0.716,proficient,0.727,0.47,diagnostic_and_practice
LSK00111,LRN0013,SK013,Excel for Data Analysis,0.898,advanced,0.98,0.65,diagnostic_and_practice
LSK00112,LRN0013,SK016,Data Visualization,0.098,novice,0.086,0.5,diagnostic_and_practice
LSK00113,LRN0013,SK011,Descriptive Statistics,0.432,developing,0.53,0.32,diagnostic_and_practice
LSK00114,LRN0013,SK018,Exploratory Data Analysis,0.539,competent,0.554,0.46,diagnostic_and_practice
LSK00115,LRN0013,SK001,Python Basics,0.659,proficient,0.705,0.54,diagnostic_and_practice
LSK00116,LRN0013,SK002,Git & Version Control,0.948,advanced,0.98,0.34,diagnostic_and_practice
LSK00117,LRN0013,SK008,Problem Solving (DSA Practice),0.118,novice,0.128,0.31,diagnostic_and_practice
LSK00118,LRN0014,SK003,Python Data Structures,0.691,proficient,0.611,0.71,diagnostic_and_practice
LSK00119,LRN0014,SK017,Inferential Statistics,0.878,advanced,0.923,0.57,diagnostic_and_practice
LSK00120,LRN0014,SK021,ML Foundations,0.231,novice,0.279,0.68,diagnostic_and_practice
LSK00121,LRN0014,SK022,Regression Techniques,0.281,developing,0.314,0.87,diagnostic_and_practice
LSK00122,LRN0014,SK023,Classification Techniques,0.645,competent,0.561,0.71,diagnostic_and_practice
LSK00123,LRN0014,SK024,Model Evaluation,0.673,proficient,0.71,0.86,diagnostic_and_practice
LSK00124,LRN0014,SK001,Python Basics,0.95,advanced,0.903,0.45,diagnostic_and_practice
LSK00125,LRN0014,SK002,Git & Version Control,0.125,novice,0.236,0.43,diagnostic_and_practice
LSK00126,LRN0014,SK008,Problem Solving (DSA Practice),0.414,developing,0.382,0.67,diagnostic_and_practice
LSK00127,LRN0015,SK021,ML Foundations,0.851,advanced,0.781,0.38,diagnostic_and_practice
LSK00128,LRN0015,SK025,Feature Engineering,0.144,novice,0.05,0.49,diagnostic_and_practice
LSK00129,LRN0015,SK027,Neural Networks,0.408,developing,0.421,0.83,diagnostic_and_practice
LSK00130,LRN0015,SK028,Deep Learning,0.564,competent,0.668,0.45,diagnostic_and_practice
LSK00131,LRN0015,SK050,Model Deployment,0.775,proficient,0.883,0.64,diagnostic_and_practice
LSK00132,LRN0015,SK024,Model Evaluation,0.957,advanced,0.85,0.31,diagnostic_and_practice
LSK00133,LRN0015,SK001,Python Basics,0.052,novice,0.058,0.44,diagnostic_and_practice
LSK00134,LRN0015,SK002,Git & Version Control,0.373,developing,0.347,0.63,diagnostic_and_practice
LSK00135,LRN0015,SK008,Problem Solving (DSA Practice),0.64,competent,0.621,0.7,diagnostic_and_practice
LSK00136,LRN0016,SK031,HTML & CSS,0.07,novice,0.163,0.88,diagnostic_and_practice
LSK00137,LRN0016,SK032,JavaScript Basics,0.3,developing,0.221,0.69,diagnostic_and_practice
LSK00138,LRN0016,SK035,React Fundamentals,0.608,competent,0.534,0.47,diagnostic_and_practice
LSK00139,LRN0016,SK036,Node.js Basics,0.69,proficient,0.746,0.65,diagnostic_and_practice
LSK00140,LRN0016,SK037,REST API Design,0.967,advanced,0.98,0.44,diagnostic_and_practice
LSK00141,LRN0016,SK034,Database Design (RDBMS),0.142,novice,0.151,0.48,diagnostic_and_practice
LSK00142,LRN0016,SK001,Python Basics,0.279,developing,0.341,0.52,diagnostic_and_practice
LSK00143,LRN0016,SK002,Git & Version Control,0.638,competent,0.597,0.32,diagnostic_and_practice
LSK00144,LRN0016,SK008,Problem Solving (DSA Practice),0.791,proficient,0.704,0.36,diagnostic_and_practice
LSK00145,LRN0017,SK019,Advanced SQL,0.426,developing,0.536,0.86,diagnostic_and_practice
LSK00146,LRN0017,SK051,Data Modeling,0.471,competent,0.543,0.66,diagnostic_and_practice
