goal_id,learner_id,goal_title,goal_type,target_role,core_target_skills,deadline_months,weekly_hours_committed,status,priority
GOAL0001,LRN0001,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0002,LRN0002,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0003,LRN0003,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0004,LRN0004,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0005,LRN0005,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0006,LRN0006,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0007,LRN0007,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0008,LRN0008,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0009,LRN0009,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0010,LRN0010,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0011,LRN0011,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0012,LRN0012,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0013,LRN0013,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0014,LRN0014,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0015,LRN0015,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0016,LRN0016,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0017,LRN0017,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0018,LRN0018,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0019,LRN0019,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0020,LRN0020,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0021,LRN0021,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0022,LRN0022,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0023,LRN0023,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0024,LRN0024,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0025,LRN0025,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0026,LRN0026,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0027,LRN0027,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0028,LRN0028,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0029,LRN0029,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0030,LRN0030,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0031,LRN0031,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0032,LRN0032,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0033,LRN0033,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0034,LRN0034,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0035,LRN0035,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0036,LRN0036,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0037,LRN0037,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0038,LRN0038,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0039,LRN0039,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0040,LRN0040,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0041,LRN0041,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0042,LRN0042,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0043,LRN0043,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
