message_id,message_text,intent_label
MSG0001,Can you explain the concept of a p-value simply?,ASK_CONCEPT_EXPLANATION
MSG0002,I want an entirely new roadmap considering everything I've learned so far.,REQUEST_REPLAN
MSG0003,Please build me a roadmap to become an ML engineer.,CREATE_GOAL
MSG0004,I am a fresher and I want to become job ready for a software engineer role.,CREATE_GOAL
MSG0005,What would my timeline look like with twelve hours a week instead of seven?,WHAT_IF_SIMULATION
MSG0006,Can you suggest a project I can complete in two weekends?,REQUEST_PROJECT
MSG0007,I need something easier before I attempt this project.,REQUEST_EASIER
MSG0008,Can you suggest a full stack project I can build this month?,REQUEST_PROJECT
MSG0009,What does backpropagation mean in neural networks?,ASK_CONCEPT_EXPLANATION
MSG0010,This was a great hands-on experience with Kubernetes.,GIVE_FEEDBACK
MSG0011,This course on Docker was clear and easy to follow.,GIVE_FEEDBACK
MSG0012,What is the difference between a milestone and a phase in my roadmap?,GENERAL_QUESTION
MSG0013,What if I want to combine full stack development with cloud skills?,WHAT_IF_SIMULATION
MSG0014,Can we update my goal now that I have cleared the SQL basics assessment?,MODIFY_GOAL
MSG0015,I want to add cloud skills to my existing data engineer goal.,MODIFY_GOAL
MSG0016,"My deadline needs to change, I now have a job so I have less time.",MODIFY_GOAL
MSG0017,Can we reduce the number of resources to save time?,REQUEST_FASTER
MSG0018,This resource gave me confidence before my interview.,GIVE_FEEDBACK
MSG0019,I want a new plan generated using my updated mastery scores.,REQUEST_REPLAN
MSG0020,"Please rebuild my roadmap, I feel it does not match my pace.",REQUEST_REPLAN
MSG0021,Can you explain the bias-variance tradeoff simply?,ASK_CONCEPT_EXPLANATION
MSG0022,I want a project to apply my machine learning knowledge.,REQUEST_PROJECT
MSG0023,Can we regenerate my learning plan based on my new scores?,REQUEST_REPLAN
MSG0024,Please modify my goal to add a portfolio-first approach.,MODIFY_GOAL
MSG0025,How is my next milestone decided by the system?,GENERAL_QUESTION
MSG0026,I want to learn cloud computing and become an AWS certified engineer.,CREATE_GOAL
