attempt_id,assessment_id,learner_id,skill_name,score,passed,duration_seconds,self_reported_confidence
ATT00001,ASM036,LRN0001,SQL Basics,0.08,False,456,0.05
ATT00002,ASM002,LRN0001,Advanced SQL,0.417,False,818,0.568
ATT00003,ASM016,LRN0001,Excel for Data Analysis,0.626,True,599,0.477
ATT00004,ASM009,LRN0001,Data Visualization,0.703,True,369,0.814
ATT00005,ASM013,LRN0001,Descriptive Statistics,0.865,True,806,0.804
ATT00006,ASM017,LRN0001,Exploratory Data Analysis,0.217,False,500,0.204
ATT00007,ASM031,LRN0001,Python Basics,0.321,False,802,0.383
ATT00008,ASM019,LRN0001,Git & Version Control,0.529,False,556,0.473
ATT00009,ASM030,LRN0001,Problem Solving (DSA Practice),0.772,True,677,0.691
ATT00010,ASM032,LRN0002,Python Data Structures,0.281,False,681,0.419
ATT00011,ASM021,LRN0002,Inferential Statistics,0.553,False,582,0.448
ATT00012,ASM025,LRN0002,ML Foundations,0.667,True,527,0.545
ATT00013,ASM035,LRN0002,Regression Techniques,0.92,True,507,0.869
ATT00014,ASM005,LRN0002,Classification Techniques,0.08,False,626,0.064
ATT00015,ASM027,LRN0002,Model Evaluation,0.315,False,583,0.251
ATT00016,ASM031,LRN0002,Python Basics,0.571,False,881,0.676
ATT00017,ASM019,LRN0002,Git & Version Control,0.849,True,521,0.843
ATT00018,ASM030,LRN0002,Problem Solving (DSA Practice),1.0,True,539,0.909
ATT00019,ASM025,LRN0003,ML Foundations,0.454,False,520,0.596
ATT00020,ASM018,LRN0003,Feature Engineering,0.686,True,585,0.584
ATT00021,ASM028,LRN0003,Neural Networks,0.987,True,600,0.89
ATT00022,ASM012,LRN0003,Deep Learning,0.087,False,723,0.238
ATT00023,ASM026,LRN0003,Model Deployment,0.382,False,780,0.479
ATT00024,ASM027,LRN0003,Model Evaluation,0.576,False,498,0.656
ATT00025,ASM031,LRN0003,Python Basics,0.684,True,565,0.681
ATT00026,ASM019,LRN0003,Git & Version Control,0.973,True,691,0.892
ATT00027,ASM030,LRN0003,Problem Solving (DSA Practice),0.1,False,500,0.09
ATT00028,ASM020,LRN0004,HTML & CSS,0.701,True,638,0.822
ATT00029,ASM022,LRN0004,JavaScript Basics,0.857,True,517,0.98
ATT00030,ASM034,LRN0004,React Fundamentals,0.248,False,452,0.191
ATT00031,ASM029,LRN0004,Node.js Basics,0.365,False,412,0.335
ATT00032,ASM033,LRN0004,REST API Design,0.528,False,803,0.555
ATT00033,ASM011,LRN0004,Database Design (RDBMS),0.755,True,452,0.75
ATT00034,ASM031,LRN0004,Python Basics,0.91,True,595,0.89
ATT00035,ASM019,LRN0004,Git & Version Control,0.223,False,387,0.189
ATT00036,ASM030,LRN0004,Problem Solving (DSA Practice),0.462,False,506,0.391
ATT00037,ASM002,LRN0005,Advanced SQL,0.895,True,551,0.875
ATT00038,ASM007,LRN0005,Data Modeling,0.199,False,593,0.166
ATT00039,ASM015,LRN0005,ETL Fundamentals,0.428,False,665,0.38
ATT00040,ASM003,LRN0005,Apache Spark Basics,0.657,True,512,0.604
ATT00041,ASM010,LRN0005,Data Warehousing,0.86,True,424,0.931
ATT00042,ASM008,LRN0005,Data Pipeline Design,0.892,True,710,0.904
ATT00043,ASM031,LRN0005,Python Basics,0.208,False,551,0.124
ATT00044,ASM019,LRN0005,Git & Version Control,0.349,False,613,0.197
ATT00045,ASM030,LRN0005,Problem Solving (DSA Practice),0.417,False,885,0.451
ATT00046,ASM024,LRN0006,Linux Fundamentals,0.125,False,587,0.099
ATT00047,ASM006,LRN0006,Cloud Computing Basics,0.253,False,548,0.245
ATT00048,ASM001,LRN0006,AWS Core Services,0.431,False,698,0.343
ATT00049,ASM014,LRN0006,Docker Fundamentals,0.63,True,614,0.762
ATT00050,ASM023,LRN0006,Kubernetes Basics,0.946,True,586,0.908
ATT00051,ASM004,LRN0006,CI/CD Pipelines,0.103,False,464,0.12
ATT00052,ASM031,LRN0006,Python Basics,0.386,False,418,0.407
ATT00053,ASM019,LRN0006,Git & Version Control,0.63,True,651,0.634
ATT00054,ASM030,LRN0006,Problem Solving (DSA Practice),0.737,True,463,0.684
ATT00055,ASM036,LRN0007,SQL Basics,0.271,False,611,0.218
ATT00056,ASM002,LRN0007,Advanced SQL,0.66,True,847,0.704
ATT00057,ASM016,LRN0007,Excel for Data Analysis,0.695,True,578,0.76
ATT00058,ASM009,LRN0007,Data Visualization,0.893,True,363,0.841
ATT00059,ASM013,LRN0007,Descriptive Statistics,0.102,False,572,0.197
ATT00060,ASM017,LRN0007,Exploratory Data Analysis,0.439,False,484,0.468
ATT00061,ASM031,LRN0007,Python Basics,0.659,True,397,0.663
ATT00062,ASM019,LRN0007,Git & Version Control,0.736,True,850,0.886
ATT00063,ASM030,LRN0007,Problem Solving (DSA Practice),0.87,True,522,0.848
ATT00064,ASM032,LRN0008,Python Data Structures,0.554,False,557,0.435
ATT00065,ASM021,LRN0008,Inferential Statistics,0.809,True,511,0.914
ATT00066,ASM025,LRN0008,ML Foundations,0.913,True,627,0.82
ATT00067,ASM035,LRN0008,Regression Techniques,0.142,False,705,0.296
ATT00068,ASM005,LRN0008,Classification Techniques,0.298,False,585,0.32
ATT00069,ASM027,LRN0008,Model Evaluation,0.508,False,742,0.546
ATT00070,ASM031,LRN0008,Python Basics,0.673,True,701,0.629
ATT00071,ASM019,LRN0008,Git & Version Control,0.852,True,687,0.838
ATT00072,ASM030,LRN0008,Problem Solving (DSA Practice),0.115,False,445,0.05
ATT00073,ASM025,LRN0009,ML Foundations,0.83,True,598,0.879
ATT00074,ASM018,LRN0009,Feature Engineering,0.839,True,511,0.916
