path_item_id,path_id,learner_id,resource_id,skill_id,skill_name,sequence_order,status,estimated_minutes,required
ITEM00001,PATH0001,LRN0001,RES0036,SK012,SQL Basics,1,planned,300,True
ITEM00002,PATH0001,LRN0001,RES0056,SK019,Advanced SQL,2,planned,690,True
ITEM00003,PATH0001,LRN0001,RES0037,SK013,Excel for Data Analysis,3,planned,240,True
ITEM00004,PATH0001,LRN0001,RES0046,SK016,Data Visualization,4,mastered_skip,360,False
ITEM00005,PATH0001,LRN0001,RES0031,SK011,Descriptive Statistics,5,mastered_skip,120,False
ITEM00006,PATH0001,LRN0001,RES0054,SK018,Exploratory Data Analysis,6,planned,660,True
ITEM00007,PATH0002,LRN0002,RES0008,SK003,Python Data Structures,1,planned,330,True
ITEM00008,PATH0002,LRN0002,RES0049,SK017,Inferential Statistics,2,planned,480,True
ITEM00009,PATH0002,LRN0002,RES0061,SK021,ML Foundations,3,mastered_skip,120,False
ITEM00010,PATH0002,LRN0002,RES0064,SK022,Regression Techniques,4,mastered_skip,120,False
ITEM00011,PATH0002,LRN0002,RES0069,SK023,Classification Techniques,5,planned,420,True
ITEM00012,PATH0002,LRN0002,RES0071,SK024,Model Evaluation,6,planned,330,True
ITEM00013,PATH0003,LRN0003,RES0061,SK021,ML Foundations,1,planned,120,True
ITEM00014,PATH0003,LRN0003,RES0073,SK025,Feature Engineering,2,mastered_skip,360,False
ITEM00015,PATH0003,LRN0003,RES0079,SK027,Neural Networks,3,mastered_skip,480,False
ITEM00016,PATH0003,LRN0003,RES0084,SK028,Deep Learning,4,planned,660,True
ITEM00017,PATH0003,LRN0003,RES0149,SK050,Model Deployment,5,planned,690,True
ITEM00018,PATH0003,LRN0003,RES0070,SK024,Model Evaluation,6,planned,240,True
ITEM00019,PATH0004,LRN0004,RES0091,SK031,HTML & CSS,1,mastered_skip,120,False
ITEM00020,PATH0004,LRN0004,RES0094,SK032,JavaScript Basics,2,mastered_skip,120,False
ITEM00021,PATH0004,LRN0004,RES0105,SK035,React Fundamentals,3,planned,540,True
ITEM00022,PATH0004,LRN0004,RES0107,SK036,Node.js Basics,4,planned,450,True
ITEM00023,PATH0004,LRN0004,RES0109,SK037,REST API Design,5,planned,480,True
ITEM00024,PATH0004,LRN0004,RES0100,SK034,Database Design (RDBMS),6,mastered_skip,240,False
ITEM00025,PATH0005,LRN0005,RES0055,SK019,Advanced SQL,1,mastered_skip,600,False
ITEM00026,PATH0005,LRN0005,RES0153,SK051,Data Modeling,2,planned,300,True
ITEM00027,PATH0005,LRN0005,RES0158,SK053,ETL Fundamentals,3,planned,330,True
ITEM00028,PATH0005,LRN0005,RES0169,SK057,Apache Spark Basics,4,mastered_skip,480,False
ITEM00029,PATH0005,LRN0005,RES0160,SK054,Data Warehousing,5,mastered_skip,240,False
ITEM00030,PATH0005,LRN0005,RES0178,SK060,Data Pipeline Design,6,mastered_skip,600,False
ITEM00031,PATH0006,LRN0006,RES0123,SK041,Linux Fundamentals,1,planned,300,True
ITEM00032,PATH0006,LRN0006,RES0125,SK042,Cloud Computing Basics,2,planned,210,True
ITEM00033,PATH0006,LRN0006,RES0130,SK044,AWS Core Services,3,planned,240,True
ITEM00034,PATH0006,LRN0006,RES0133,SK045,Docker Fundamentals,4,mastered_skip,360,False
ITEM00035,PATH0006,LRN0006,RES0139,SK047,Kubernetes Basics,5,mastered_skip,480,False
ITEM00036,PATH0006,LRN0006,RES0144,SK048,CI/CD Pipelines,6,planned,660,True
ITEM00037,PATH0007,LRN0007,RES0035,SK012,SQL Basics,1,planned,210,True
ITEM00038,PATH0007,LRN0007,RES0055,SK019,Advanced SQL,2,mastered_skip,600,False
ITEM00039,PATH0007,LRN0007,RES0037,SK013,Excel for Data Analysis,3,mastered_skip,240,False
ITEM00040,PATH0007,LRN0007,RES0046,SK016,Data Visualization,4,mastered_skip,360,False
ITEM00041,PATH0007,LRN0007,RES0033,SK011,Descriptive Statistics,5,planned,300,True
ITEM00042,PATH0007,LRN0007,RES0053,SK018,Exploratory Data Analysis,6,planned,570,True
ITEM00043,PATH0008,LRN0008,RES0007,SK003,Python Data Structures,1,planned,240,True
ITEM00044,PATH0008,LRN0008,RES0049,SK017,Inferential Statistics,2,mastered_skip,480,False
ITEM00045,PATH0008,LRN0008,RES0061,SK021,ML Foundations,3,mastered_skip,120,False
ITEM00046,PATH0008,LRN0008,RES0066,SK022,Regression Techniques,4,planned,300,True
ITEM00047,PATH0008,LRN0008,RES0068,SK023,Classification Techniques,5,planned,330,True
ITEM00048,PATH0008,LRN0008,RES0070,SK024,Model Evaluation,6,planned,240,True
ITEM00049,PATH0009,LRN0009,RES0061,SK021,ML Foundations,1,mastered_skip,120,False
ITEM00050,PATH0009,LRN0009,RES0073,SK025,Feature Engineering,2,mastered_skip,360,False
ITEM00051,PATH0009,LRN0009,RES0081,SK027,Neural Networks,3,planned,660,True
ITEM00052,PATH0009,LRN0009,RES0083,SK028,Deep Learning,4,planned,570,True
ITEM00053,PATH0009,LRN0009,RES0148,SK050,Model Deployment,5,planned,600,True
ITEM00054,PATH0009,LRN0009,RES0070,SK024,Model Evaluation,6,mastered_skip,240,False
ITEM00055,PATH0010,LRN0010,RES0091,SK031,HTML & CSS,1,mastered_skip,120,False
ITEM00056,PATH0010,LRN0010,RES0096,SK032,JavaScript Basics,2,planned,300,True
ITEM00057,PATH0010,LRN0010,RES0104,SK035,React Fundamentals,3,planned,450,True
ITEM00058,PATH0010,LRN0010,RES0106,SK036,Node.js Basics,4,planned,360,True
ITEM00059,PATH0010,LRN0010,RES0109,SK037,REST API Design,5,mastered_skip,480,False
ITEM00060,PATH0010,LRN0010,RES0100,SK034,Database Design (RDBMS),6,mastered_skip,240,False
ITEM00061,PATH0011,LRN0011,RES0057,SK019,Advanced SQL,1,planned,780,True
ITEM00062,PATH0011,LRN0011,RES0152,SK051,Data Modeling,2,planned,210,True
ITEM00063,PATH0011,LRN0011,RES0157,SK053,ETL Fundamentals,3,mastered_skip,240,False
ITEM00064,PATH0011,LRN0011,RES0169,SK057,Apache Spark Basics,4,mastered_skip,480,False
ITEM00065,PATH0011,LRN0011,RES0160,SK054,Data Warehousing,5,mastered_skip,240,False
ITEM00066,PATH0011,LRN0011,RES0180,SK060,Data Pipeline Design,6,planned,780,True
ITEM00067,PATH0012,LRN0012,RES0122,SK041,Linux Fundamentals,1,planned,210,True
ITEM00068,PATH0012,LRN0012,RES0124,SK042,Cloud Computing Basics,2,planned,120,True
ITEM00069,PATH0012,LRN0012,RES0130,SK044,AWS Core Services,3,mastered_skip,240,False
ITEM00070,PATH0012,LRN0012,RES0133,SK045,Docker Fundamentals,4,mastered_skip,360,False
ITEM00071,PATH0012,LRN0012,RES0141,SK047,Kubernetes Basics,5,planned,660,True
ITEM00072,PATH0012,LRN0012,RES0143,SK048,CI/CD Pipelines,6,planned,570,True
ITEM00073,PATH0013,LRN0013,RES0034,SK012,SQL Basics,1,mastered_skip,120,False
ITEM00074,PATH0013,LRN0013,RES0055,SK019,Advanced SQL,2,mastered_skip,600,False
ITEM00075,PATH0013,LRN0013,RES0037,SK013,Excel for Data Analysis,3,mastered_skip,240,False
ITEM00076,PATH0013,LRN0013,RES0048,SK016,Data Visualization,4,planned,540,True
ITEM00077,PATH0013,LRN0013,RES0032,SK011,Descriptive Statistics,5,planned,210,True
ITEM00078,PATH0013,LRN0013,RES0052,SK018,Exploratory Data Analysis,6,planned,480,True
ITEM00079,PATH0014,LRN0014,RES0007,SK003,Python Data Structures,1,mastered_skip,240,False
ITEM00080,PATH0014,LRN0014,RES0049,SK017,Inferential Statistics,2,mastered_skip,480,False
ITEM00081,PATH0014,LRN0014,RES0063,SK021,ML Foundations,3,planned,300,True
ITEM00082,PATH0014,LRN0014,RES0065,SK022,Regression Techniques,4,planned,210,True
ITEM00083,PATH0014,LRN0014,RES0067,SK023,Classification Techniques,5,mastered_skip,240,False
ITEM00084,PATH0014,LRN0014,RES0070,SK024,Model Evaluation,6,mastered_skip,240,False
ITEM00085,PATH0015,LRN0015,RES0061,SK021,ML Foundations,1,mastered_skip,120,False
ITEM00086,PATH0015,LRN0015,RES0075,SK025,Feature Engineering,2,planned,540,True
ITEM00087,PATH0015,LRN0015,RES0080,SK027,Neural Networks,3,planned,570,True
ITEM00088,PATH0015,LRN0015,RES0082,SK028,Deep Learning,4,planned,480,True
ITEM00089,PATH0015,LRN0015,RES0148,SK050,Model Deployment,5,mastered_skip,600,False
ITEM00090,PATH0015,LRN0015,RES0070,SK024,Model Evaluation,6,mastered_skip,240,False
ITEM00091,PATH0016,LRN0016,RES0093,SK031,HTML & CSS,1,planned,300,True
ITEM00092,PATH0016,LRN0016,RES0095,SK032,JavaScript Basics,2,planned,210,True
ITEM00093,PATH0016,LRN0016,RES0103,SK035,React Fundamentals,3,mastered_skip,360,False
ITEM00094,PATH0016,LRN0016,RES0106,SK036,Node.js Basics,4,mastered_skip,360,False
ITEM00095,PATH0016,LRN0016,RES0109,SK037,REST API Design,5,mastered_skip,480,False
ITEM00096,PATH0016,LRN0016,RES0102,SK034,Database Design (RDBMS),6,planned,420,True
ITEM00097,PATH0017,LRN0017,RES0056,SK019,Advanced SQL,1,planned,690,True
ITEM00098,PATH0017,LRN0017,RES0151,SK051,Data Modeling,2,planned,120,True
ITEM00099,PATH0017,LRN0017,RES0157,SK053,ETL Fundamentals,3,mastered_skip,240,False
ITEM00100,PATH0017,LRN0017,RES0169,SK057,Apache Spark Basics,4,mastered_skip,480,False
ITEM00101,PATH0017,LRN0017,RES0162,SK054,Data Warehousing,5,planned,420,True
ITEM00102,PATH0017,LRN0017,RES0179,SK060,Data Pipeline Design,6,planned,690,True
ITEM00103,PATH0018,LRN0018,RES0121,SK041,Linux Fundamentals,1,planned,120,True
ITEM00104,PATH0018,LRN0018,RES0124,SK042,Cloud Computing Basics,2,mastered_skip,120,False
ITEM00105,PATH0018,LRN0018,RES0130,SK044,AWS Core Services,3,mastered_skip,240,False
ITEM00106,PATH0018,LRN0018,RES0135,SK045,Docker Fundamentals,4,planned,540,True
ITEM00107,PATH0018,LRN0018,RES0140,SK047,Kubernetes Basics,5,planned,570,True
ITEM00108,PATH0018,LRN0018,RES0142,SK048,CI/CD Pipelines,6,planned,480,True
ITEM00109,PATH0019,LRN0019,RES0034,SK012,SQL Basics,1,mastered_skip,120,False
ITEM00110,PATH0019,LRN0019,RES0055,SK019,Advanced SQL,2,mastered_skip,600,False
ITEM00111,PATH0019,LRN0019,RES0039,SK013,Excel for Data Analysis,3,planned,420,True
ITEM00112,PATH0019,LRN0019,RES0047,SK016,Data Visualization,4,planned,450,True
ITEM00113,PATH0019,LRN0019,RES0031,SK011,Descriptive Statistics,5,planned,120,True
ITEM00114,PATH0019,LRN0019,RES0052,SK018,Exploratory Data Analysis,6,mastered_skip,480,False
ITEM00115,PATH0020,LRN0020,RES0007,SK003,Python Data Structures,1,mastered_skip,240,False
ITEM00116,PATH0020,LRN0020,RES0051,SK017,Inferential Statistics,2,planned,660,True
ITEM00117,PATH0020,LRN0020,RES0062,SK021,ML Foundations,3,planned,210,True
ITEM00118,PATH0020,LRN0020,RES0064,SK022,Regression Techniques,4,planned,120,True
ITEM00119,PATH0020,LRN0020,RES0067,SK023,Classification Techniques,5,mastered_skip,240,False
ITEM00120,PATH0020,LRN0020,RES0070,SK024,Model Evaluation,6,mastered_skip,240,False
ITEM00121,PATH0021,LRN0021,RES0063,SK021,ML Foundations,1,planned,300,True
ITEM00122,PATH0021,LRN0021,RES0074,SK025,Feature Engineering,2,planned,450,True
ITEM00123,PATH0021,LRN0021,RES0079,SK027,Neural Networks,3,planned,480,True
ITEM00124,PATH0021,LRN0021,RES0082,SK028,Deep Learning,4,mastered_skip,480,False
ITEM00125,PATH0021,LRN0021,RES0148,SK050,Model Deployment,5,mastered_skip,600,False
ITEM00126,PATH0021,LRN0021,RES0072,SK024,Model Evaluation,6,planned,420,True
ITEM00127,PATH0022,LRN0022,RES0092,SK031,HTML & CSS,1,planned,210,True
ITEM00128,PATH0022,LRN0022,RES0094,SK032,JavaScript Basics,2,planned,120,True
ITEM00129,PATH0022,LRN0022,RES0103,SK035,React Fundamentals,3,mastered_skip,360,False
ITEM00130,PATH0022,LRN0022,RES0106,SK036,Node.js Basics,4,mastered_skip,360,False
ITEM00131,PATH0022,LRN0022,RES0111,SK037,REST API Design,5,planned,660,True
ITEM00132,PATH0022,LRN0022,RES0101,SK034,Database Design (RDBMS),6,planned,330,True
ITEM00133,PATH0023,LRN0023,RES0055,SK019,Advanced SQL,1,mastered_skip,600,False
ITEM00134,PATH0023,LRN0023,RES0151,SK051,Data Modeling,2,mastered_skip,120,False
ITEM00135,PATH0023,LRN0023,RES0157,SK053,ETL Fundamentals,3,mastered_skip,240,False
ITEM00136,PATH0023,LRN0023,RES0171,SK057,Apache Spark Basics,4,planned,660,True
ITEM00137,PATH0023,LRN0023,RES0161,SK054,Data Warehousing,5,planned,330,True
ITEM00138,PATH0023,LRN0023,RES0178,SK060,Data Pipeline Design,6,planned,600,True
ITEM00139,PATH0024,LRN0024,RES0121,SK041,Linux Fundamentals,1,mastered_skip,120,False
ITEM00140,PATH0024,LRN0024,RES0124,SK042,Cloud Computing Basics,2,mastered_skip,120,False
ITEM00141,PATH0024,LRN0024,RES0132,SK044,AWS Core Services,3,planned,420,True
ITEM00142,PATH0024,LRN0024,RES0134,SK045,Docker Fundamentals,4,planned,450,True
ITEM00143,PATH0024,LRN0024,RES0139,SK047,Kubernetes Basics,5,mastered_skip,480,False
ITEM00144,PATH0024,LRN0024,RES0142,SK048,CI/CD Pipelines,6,mastered_skip,480,False
ITEM00145,PATH0025,LRN0025,RES0034,SK012,SQL Basics,1,mastered_skip,120,False
ITEM00146,PATH0025,LRN0025,RES0057,SK019,Advanced SQL,2,planned,780,True
ITEM00147,PATH0025,LRN0025,RES0038,SK013,Excel for Data Analysis,3,planned,330,True
ITEM00148,PATH0025,LRN0025,RES0046,SK016,Data Visualization,4,planned,360,True
ITEM00149,PATH0025,LRN0025,RES0031,SK011,Descriptive Statistics,5,mastered_skip,120,False
ITEM00150,PATH0025,LRN0025,RES0052,SK018,Exploratory Data Analysis,6,mastered_skip,480,False
ITEM00151,PATH0026,LRN0026,RES0009,SK003,Python Data Structures,1,planned,420,True
ITEM00152,PATH0026,LRN0026,RES0050,SK017,Inferential Statistics,2,planned,570,True
ITEM00153,PATH0026,LRN0026,RES0061,SK021,ML Foundations,3,mastered_skip,120,False
ITEM00154,PATH0026,LRN0026,RES0064,SK022,Regression Techniques,4,mastered_skip,120,False
ITEM00155,PATH0026,LRN0026,RES0067,SK023,Classification Techniques,5,mastered_skip,240,False
ITEM00156,PATH0026,LRN0026,RES0072,SK024,Model Evaluation,6,planned,420,True
ITEM00157,PATH0027,LRN0027,RES0062,SK021,ML Foundations,1,planned,210,True
ITEM00158,PATH0027,LRN0027,RES0073,SK025,Feature Engineering,2,mastered_skip,360,False
ITEM00159,PATH0027,LRN0027,RES0079,SK027,Neural Networks,3,mastered_skip,480,False
ITEM00160,PATH0027,LRN0027,RES0082,SK028,Deep Learning,4,mastered_skip,480,False
ITEM00161,PATH0027,LRN0027,RES0150,SK050,Model Deployment,5,planned,780,True
ITEM00162,PATH0027,LRN0027,RES0071,SK024,Model Evaluation,6,planned,330,True
ITEM00163,PATH0028,LRN0028,RES0091,SK031,HTML & CSS,1,mastered_skip,120,False
ITEM00164,PATH0028,LRN0028,RES0094,SK032,JavaScript Basics,2,mastered_skip,120,False
ITEM00165,PATH0028,LRN0028,RES0103,SK035,React Fundamentals,3,mastered_skip,360,False
ITEM00166,PATH0028,LRN0028,RES0108,SK036,Node.js Basics,4,planned,540,True
ITEM00167,PATH0028,LRN0028,RES0110,SK037,REST API Design,5,planned,570,True
ITEM00168,PATH0028,LRN0028,RES0100,SK034,Database Design (RDBMS),6,planned,240,True
ITEM00169,PATH0029,LRN0029,RES0055,SK019,Advanced SQL,1,mastered_skip,600,False
ITEM00170,PATH0029,LRN0029,RES0151,SK051,Data Modeling,2,mastered_skip,120,False
ITEM00171,PATH0029,LRN0029,RES0159,SK053,ETL Fundamentals,3,planned,420,True
ITEM00172,PATH0029,LRN0029,RES0170,SK057,Apache Spark Basics,4,planned,570,True
ITEM00173,PATH0029,LRN0029,RES0160,SK054,Data Warehousing,5,planned,240,True
ITEM00174,PATH0029,LRN0029,RES0178,SK060,Data Pipeline Design,6,mastered_skip,600,False
ITEM00175,PATH0030,LRN0030,RES0121,SK041,Linux Fundamentals,1,mastered_skip,120,False
ITEM00176,PATH0030,LRN0030,RES0126,SK042,Cloud Computing Basics,2,planned,300,True
ITEM00177,PATH0030,LRN0030,RES0131,SK044,AWS Core Services,3,planned,330,True
ITEM00178,PATH0030,LRN0030,RES0133,SK045,Docker Fundamentals,4,planned,360,True
ITEM00179,PATH0030,LRN0030,RES0139,SK047,Kubernetes Basics,5,mastered_skip,480,False
ITEM00180,PATH0030,LRN0030,RES0142,SK048,CI/CD Pipelines,6,mastered_skip,480,False
ITEM00181,PATH0031,LRN0031,RES0036,SK012,SQL Basics,1,planned,300,True
ITEM00182,PATH0031,LRN0031,RES0056,SK019,Advanced SQL,2,planned,690,True
ITEM00183,PATH0031,LRN0031,RES0037,SK013,Excel for Data Analysis,3,planned,240,True
ITEM00184,PATH0031,LRN0031,RES0046,SK016,Data Visualization,4,mastered_skip,360,False
ITEM00185,PATH0031,LRN0031,RES0031,SK011,Descriptive Statistics,5,mastered_skip,120,False
ITEM00186,PATH0031,LRN0031,RES0054,SK018,Exploratory Data Analysis,6,planned,660,True
ITEM00187,PATH0032,LRN0032,RES0008,SK003,Python Data Structures,1,planned,330,True
ITEM00188,PATH0032,LRN0032,RES0049,SK017,Inferential Statistics,2,planned,480,True
ITEM00189,PATH0032,LRN0032,RES0061,SK021,ML Foundations,3,mastered_skip,120,False
ITEM00190,PATH0032,LRN0032,RES0064,SK022,Regression Techniques,4,mastered_skip,120,False
ITEM00191,PATH0032,LRN0032,RES0069,SK023,Classification Techniques,5,planned,420,True
ITEM00192,PATH0032,LRN0032,RES0071,SK024,Model Evaluation,6,planned,330,True
ITEM00193,PATH0033,LRN0033,RES0061,SK021,ML Foundations,1,planned,120,True
ITEM00194,PATH0033,LRN0033,RES0073,SK025,Feature Engineering,2,mastered_skip,360,False
ITEM00195,PATH0033,LRN0033,RES0079,SK027,Neural Networks,3,mastered_skip,480,False
ITEM00196,PATH0033,LRN0033,RES0084,SK028,Deep Learning,4,planned,660,True
ITEM00197,PATH0033,LRN0033,RES0149,SK050,Model Deployment,5,planned,690,True
ITEM00198,PATH0033,LRN0033,RES0070,SK024,Model Evaluation,6,planned,240,True
ITEM00199,PATH0034,LRN0034,RES0091,SK031,HTML & CSS,1,mastered_skip,120,False
ITEM00200,PATH0034,LRN0034,RES0094,SK032,JavaScript Basics,2,mastered_skip,120,False
ITEM00201,PATH0034,LRN0034,RES0105,SK035,React Fundamentals,3,planned,540,True
ITEM00202,PATH0034,LRN0034,RES0107,SK036,Node.js Basics,4,planned,450,True
ITEM00203,PATH0034,LRN0034,RES0109,SK037,REST API Design,5,planned,480,True
ITEM00204,PATH0034,LRN0034,RES0100,SK034,Database Design (RDBMS),6,mastered_skip,240,False
ITEM00205,PATH0035,LRN0035,RES0055,SK019,Advanced SQL,1,mastered_skip,600,False
ITEM00206,PATH0035,LRN0035,RES0153,SK051,Data Modeling,2,planned,300,True
ITEM00207,PATH0035,LRN0035,RES0158,SK053,ETL Fundamentals,3,planned,330,True
ITEM00208,PATH0035,LRN0035,RES0169,SK057,Apache Spark Basics,4,planned,480,True
ITEM00209,PATH0035,LRN0035,RES0160,SK054,Data Warehousing,5,mastered_skip,240,False
ITEM00210,PATH0035,LRN0035,RES0178,SK060,Data Pipeline Design,6,mastered_skip,600,False
ITEM00211,PATH0036,LRN0036,RES0123,SK041,Linux Fundamentals,1,planned,300,True
ITEM00212,PATH0036,LRN0036,RES0125,SK042,Cloud Computing Basics,2,planned,210,True
ITEM00213,PATH0036,LRN0036,RES0130,SK044,AWS Core Services,3,planned,240,True
ITEM00214,PATH0036,LRN0036,RES0133,SK045,Docker Fundamentals,4,mastered_skip,360,False
