project_id,title,target_role,difficulty_tier,estimated_hours,portfolio_value_score,primary_skills
PRJ001,Analyse Indian Railways Passenger Traffic Trends,Data Analyst,2,12,0.68,"SQL Basics, Advanced SQL, Excel for Data Analysis"
PRJ002,Bengaluru Traffic & AQI Correlation Dashboard,Data Analyst,2,12,0.68,"SQL Basics, Advanced SQL, Excel for Data Analysis"
PRJ003,Zomato/Swiggy Restaurant Ratings Analysis (Public Dataset),Data Analyst,3,18,0.77,"SQL Basics, Advanced SQL, Excel for Data Analysis"
PRJ004,Indian State-wise Literacy Rate Dashboard (Census Data),Data Analyst,3,18,0.77,"SQL Basics, Advanced SQL, Excel for Data Analysis"
PRJ005,Predict Crop Yield for Indian Agricultural Districts,Data Scientist,3,18,0.77,"Python Data Structures, Inferential Statistics, ML Foundations"
PRJ006,Customer Churn Prediction for an Indian Telecom Operator,Data Scientist,3,18,0.77,"Python Data Structures, Inferential Statistics, ML Foundations"
PRJ007,IPL Match Outcome Prediction Model,Data Scientist,4,24,0.86,"Python Data Structures, Inferential Statistics, ML Foundations"
PRJ008,Loan Default Prediction for an Indian NBFC (Public Dataset),Data Scientist,4,24,0.86,"Python Data Structures, Inferential Statistics, ML Foundations"
PRJ009,Hindi/English Mixed-Language Sentiment Classifier,Machine Learning Engineer,4,24,0.86,"ML Foundations, Feature Engineering, Neural Networks"
PRJ010,UPI Transaction Fraud Detection Model,Machine Learning Engineer,4,24,0.86,"ML Foundations, Feature Engineering, Neural Networks"
PRJ011,Image Classifier for Indian Currency Note Recognition,Machine Learning Engineer,4,24,0.86,"ML Foundations, Feature Engineering, Neural Networks"
PRJ012,End-to-End Deployed Recommendation Engine for an E-commerce Catalog,Machine Learning Engineer,5,30,0.95,"ML Foundations, Feature Engineering, Neural Networks"
PRJ013,Local Kirana Store Inventory & Billing Web App,Full Stack Developer,2,12,0.68,"HTML & CSS, JavaScript Basics, React Fundamentals"
PRJ014,College Event Registration Portal,Full Stack Developer,2,12,0.68,"HTML & CSS, JavaScript Basics, React Fundamentals"
PRJ015,Job Portal Clone for Tier-2 City Job Seekers,Full Stack Developer,3,18,0.77,"HTML & CSS, JavaScript Basics, React Fundamentals"
PRJ016,Full Stack E-commerce Site with Razorpay/UPI Integration,Full Stack Developer,4,24,0.86,"HTML & CSS, JavaScript Basics, React Fundamentals"
PRJ017,ETL Pipeline for Indian Weather Station Data,Data Engineer,3,18,0.77,"Advanced SQL, Data Modeling, ETL Fundamentals"
PRJ018,Data Warehouse for a Simulated Indian Retail Chain,Data Engineer,3,18,0.77,"Advanced SQL, Data Modeling, ETL Fundamentals"
PRJ019,Real-Time Dashboard for Indian Stock Market Ticks,Data Engineer,4,24,0.86,"Advanced SQL, Data Modeling, ETL Fundamentals"
PRJ020,End-to-End Batch + Streaming Pipeline for E-commerce Orders,Data Engineer,4,24,0.86,"Advanced SQL, Data Modeling, ETL Fundamentals"
PRJ021,Deploy a Scalable Web App on AWS Mumbai Region,Cloud/DevOps Engineer,3,18,0.77,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services"
PRJ022,CI/CD Pipeline for a Django App using GitHub Actions,Cloud/DevOps Engineer,3,18,0.77,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services"
PRJ023,Kubernetes Cluster Setup for a Microservices Demo App,Cloud/DevOps Engineer,4,24,0.86,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services"
PRJ024,Infrastructure-as-Code Setup for a Multi-Environment Deployment,Cloud/DevOps Engineer,4,24,0.86,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services"
