recommendation_event_id,learner_id,resource_id,skill_name,score,reason,accepted
REC00001,LRN0001,RES0036,SQL Basics,0.685,Addresses skill gap in SQL Basics required for Data Analyst,False
REC00002,LRN0001,RES0056,Advanced SQL,0.887,Addresses skill gap in Advanced SQL required for Data Analyst,True
REC00003,LRN0001,RES0037,Excel for Data Analysis,0.763,Addresses skill gap in Excel for Data Analysis required for Data Analyst,True
REC00004,LRN0001,RES0054,Exploratory Data Analysis,0.779,Addresses skill gap in Exploratory Data Analysis required for Data Analyst,False
REC00005,LRN0002,RES0008,Python Data Structures,0.725,Addresses skill gap in Python Data Structures required for Data Scientist,True
REC00006,LRN0002,RES0049,Inferential Statistics,0.876,Addresses skill gap in Inferential Statistics required for Data Scientist,True
REC00007,LRN0002,RES0069,Classification Techniques,0.863,Addresses skill gap in Classification Techniques required for Data Scientist,True
REC00008,LRN0002,RES0071,Model Evaluation,0.913,Addresses skill gap in Model Evaluation required for Data Scientist,True
REC00009,LRN0003,RES0061,ML Foundations,0.812,Addresses skill gap in ML Foundations required for Machine Learning Engineer,True
REC00010,LRN0003,RES0084,Deep Learning,0.828,Addresses skill gap in Deep Learning required for Machine Learning Engineer,True
REC00011,LRN0003,RES0149,Model Deployment,0.752,Addresses skill gap in Model Deployment required for Machine Learning Engineer,True
REC00012,LRN0003,RES0070,Model Evaluation,0.806,Addresses skill gap in Model Evaluation required for Machine Learning Engineer,True
REC00013,LRN0004,RES0105,React Fundamentals,0.7,Addresses skill gap in React Fundamentals required for Full Stack Developer,False
REC00014,LRN0004,RES0107,Node.js Basics,0.84,Addresses skill gap in Node.js Basics required for Full Stack Developer,True
REC00015,LRN0004,RES0109,REST API Design,0.74,Addresses skill gap in REST API Design required for Full Stack Developer,True
REC00016,LRN0005,RES0153,Data Modeling,0.753,Addresses skill gap in Data Modeling required for Data Engineer,False
REC00017,LRN0005,RES0158,ETL Fundamentals,0.766,Addresses skill gap in ETL Fundamentals required for Data Engineer,True
REC00018,LRN0006,RES0123,Linux Fundamentals,0.735,Addresses skill gap in Linux Fundamentals required for Cloud/DevOps Engineer,False
REC00019,LRN0006,RES0125,Cloud Computing Basics,0.771,Addresses skill gap in Cloud Computing Basics required for Cloud/DevOps Engineer,True
REC00020,LRN0006,RES0130,AWS Core Services,0.805,Addresses skill gap in AWS Core Services required for Cloud/DevOps Engineer,True
REC00021,LRN0006,RES0144,CI/CD Pipelines,0.85,Addresses skill gap in CI/CD Pipelines required for Cloud/DevOps Engineer,True
REC00022,LRN0007,RES0035,SQL Basics,0.867,Addresses skill gap in SQL Basics required for Data Analyst,True
REC00023,LRN0007,RES0033,Descriptive Statistics,0.91,Addresses skill gap in Descriptive Statistics required for Data Analyst,False
REC00024,LRN0007,RES0053,Exploratory Data Analysis,0.868,Addresses skill gap in Exploratory Data Analysis required for Data Analyst,True
REC00025,LRN0008,RES0007,Python Data Structures,0.748,Addresses skill gap in Python Data Structures required for Data Scientist,True
REC00026,LRN0008,RES0066,Regression Techniques,0.822,Addresses skill gap in Regression Techniques required for Data Scientist,True
REC00027,LRN0008,RES0068,Classification Techniques,0.746,Addresses skill gap in Classification Techniques required for Data Scientist,True
REC00028,LRN0008,RES0070,Model Evaluation,0.677,Addresses skill gap in Model Evaluation required for Data Scientist,True
REC00029,LRN0009,RES0081,Neural Networks,0.703,Addresses skill gap in Neural Networks required for Machine Learning Engineer,True
REC00030,LRN0009,RES0083,Deep Learning,0.78,Addresses skill gap in Deep Learning required for Machine Learning Engineer,True
REC00031,LRN0009,RES0148,Model Deployment,0.695,Addresses skill gap in Model Deployment required for Machine Learning Engineer,True
REC00032,LRN0010,RES0096,JavaScript Basics,0.852,Addresses skill gap in JavaScript Basics required for Full Stack Developer,True
REC00033,LRN0010,RES0104,React Fundamentals,0.722,Addresses skill gap in React Fundamentals required for Full Stack Developer,False
REC00034,LRN0010,RES0106,Node.js Basics,0.833,Addresses skill gap in Node.js Basics required for Full Stack Developer,False
REC00035,LRN0011,RES0057,Advanced SQL,0.777,Addresses skill gap in Advanced SQL required for Data Engineer,True
REC00036,LRN0011,RES0152,Data Modeling,0.791,Addresses skill gap in Data Modeling required for Data Engineer,False
REC00037,LRN0011,RES0180,Data Pipeline Design,0.671,Addresses skill gap in Data Pipeline Design required for Data Engineer,True
