path_id,learner_id,goal_id,target_role,total_required_items,total_estimated_hours,weekly_hours_committed,projected_weeks_to_complete,deadline_weeks,status,feasible_within_deadline
PATH0001,LRN0001,GOAL0001,Data Analyst,4,31.5,5,6.3,12,active,True
PATH0002,LRN0002,GOAL0002,Data Scientist,4,26.0,7,3.7,24,active,True
PATH0003,LRN0003,GOAL0003,Machine Learning Engineer,4,28.5,10,2.8,36,active,True
PATH0004,LRN0004,GOAL0004,Full Stack Developer,3,24.5,14,1.8,48,active,True
PATH0005,LRN0005,GOAL0005,Data Engineer,2,10.5,5,2.1,12,active,True
PATH0006,LRN0006,GOAL0006,Cloud/DevOps Engineer,4,23.5,7,3.4,24,active,True
PATH0007,LRN0007,GOAL0007,Data Analyst,3,18.0,10,1.8,36,active,True
PATH0008,LRN0008,GOAL0008,Data Scientist,4,18.5,14,1.3,48,active,True
PATH0009,LRN0009,GOAL0009,Machine Learning Engineer,3,30.5,5,6.1,12,active,True
PATH0010,LRN0010,GOAL0010,Full Stack Developer,3,18.5,7,2.6,24,active,True
PATH0011,LRN0011,GOAL0011,Data Engineer,3,29.5,10,3.0,36,active,True
PATH0012,LRN0012,GOAL0012,Cloud/DevOps Engineer,4,26.0,14,1.9,48,active,True
PATH0013,LRN0013,GOAL0013,Data Analyst,3,20.5,5,4.1,12,active,True
PATH0014,LRN0014,GOAL0014,Data Scientist,2,8.5,7,1.2,24,active,True
PATH0015,LRN0015,GOAL0015,Machine Learning Engineer,3,26.5,10,2.6,36,active,True
PATH0016,LRN0016,GOAL0016,Full Stack Developer,3,15.5,14,1.1,48,active,True
PATH0017,LRN0017,GOAL0017,Data Engineer,4,32.0,5,6.4,12,active,True
PATH0018,LRN0018,GOAL0018,Cloud/DevOps Engineer,4,28.5,7,4.1,24,active,True
PATH0019,LRN0019,GOAL0019,Data Analyst,3,16.5,10,1.6,36,active,True
PATH0020,LRN0020,GOAL0020,Data Scientist,3,16.5,14,1.2,48,active,True
PATH0021,LRN0021,GOAL0021,Machine Learning Engineer,4,27.5,5,5.5,12,active,True
PATH0022,LRN0022,GOAL0022,Full Stack Developer,4,22.0,7,3.1,24,active,True
PATH0023,LRN0023,GOAL0023,Data Engineer,3,26.5,10,2.6,36,active,True
PATH0024,LRN0024,GOAL0024,Cloud/DevOps Engineer,2,14.5,14,1.0,48,active,True
PATH0025,LRN0025,GOAL0025,Data Analyst,3,24.5,5,4.9,12,active,True
PATH0026,LRN0026,GOAL0026,Data Scientist,3,23.5,7,3.4,24,active,True
PATH0027,LRN0027,GOAL0027,Machine Learning Engineer,3,22.0,10,2.2,36,active,True
PATH0028,LRN0028,GOAL0028,Full Stack Developer,3,22.5,14,1.6,48,active,True
PATH0029,LRN0029,GOAL0029,Data Engineer,3,20.5,5,4.1,12,active,True
PATH0030,LRN0030,GOAL0030,Cloud/DevOps Engineer,3,16.5,7,2.4,24,active,True
PATH0031,LRN0031,GOAL0031,Data Analyst,4,31.5,10,3.2,36,active,True
PATH0032,LRN0032,GOAL0032,Data Scientist,4,26.0,14,1.9,48,active,True
PATH0033,LRN0033,GOAL0033,Machine Learning Engineer,4,28.5,5,5.7,12,active,True
PATH0034,LRN0034,GOAL0034,Full Stack Developer,3,24.5,7,3.5,24,active,True
PATH0035,LRN0035,GOAL0035,Data Engineer,3,18.5,10,1.8,36,active,True
PATH0036,LRN0036,GOAL0036,Cloud/DevOps Engineer,4,23.5,14,1.7,48,active,True
PATH0037,LRN0037,GOAL0037,Data Analyst,4,28.0,5,5.6,12,active,True
PATH0038,LRN0038,GOAL0038,Data Scientist,2,10.5,7,1.5,24,active,True
PATH0039,LRN0039,GOAL0039,Machine Learning Engineer,3,30.5,10,3.0,36,active,True
PATH0040,LRN0040,GOAL0040,Full Stack Developer,3,18.5,14,1.3,48,active,True
PATH0041,LRN0041,GOAL0041,Data Engineer,3,29.5,5,5.9,12,active,True
PATH0042,LRN0042,GOAL0042,Cloud/DevOps Engineer,3,24.0,7,3.4,24,active,True
PATH0043,LRN0043,GOAL0043,Data Analyst,4,22.5,10,2.2,36,active,True
PATH0044,LRN0044,GOAL0044,Data Scientist,2,8.5,14,0.6,48,active,True
PATH0045,LRN0045,GOAL0045,Machine Learning Engineer,3,26.5,5,5.3,12,active,True
PATH0046,LRN0046,GOAL0046,Full Stack Developer,4,21.5,7,3.1,24,active,True
PATH0047,LRN0047,GOAL0047,Data Engineer,3,30.0,10,3.0,36,active,True
PATH0048,LRN0048,GOAL0048,Cloud/DevOps Engineer,4,28.5,14,2.0,48,active,True
PATH0049,LRN0049,GOAL0049,Data Analyst,3,16.5,5,3.3,12,active,True
PATH0050,LRN0050,GOAL0050,Data Scientist,3,16.5,7,2.4,24,active,True
PATH0051,LRN0051,GOAL0051,Machine Learning Engineer,3,19.5,10,2.0,36,active,True
PATH0052,LRN0052,GOAL0052,Full Stack Developer,4,22.0,14,1.6,48,active,True
PATH0053,LRN0053,GOAL0053,Data Engineer,4,36.5,5,7.3,12,active,True
PATH0054,LRN0054,GOAL0054,Cloud/DevOps Engineer,3,22.5,7,3.2,24,active,True
PATH0055,LRN0055,GOAL0055,Data Analyst,2,18.5,10,1.8,36,active,True
PATH0056,LRN0056,GOAL0056,Data Scientist,4,25.5,14,1.8,48,active,True
PATH0057,LRN0057,GOAL0057,Machine Learning Engineer,4,28.0,5,5.6,12,active,True
PATH0058,LRN0058,GOAL0058,Full Stack Developer,3,22.5,7,3.2,24,active,True
PATH0059,LRN0059,GOAL0059,Data Engineer,3,20.5,10,2.0,36,active,True
PATH0060,LRN0060,GOAL0060,Cloud/DevOps Engineer,3,16.5,14,1.2,48,active,True
PATH0061,LRN0061,GOAL0061,Data Analyst,3,27.5,5,5.5,12,active,True
PATH0062,LRN0062,GOAL0062,Data Scientist,4,26.0,7,3.7,24,active,True
PATH0063,LRN0063,GOAL0063,Machine Learning Engineer,3,26.5,10,2.6,36,active,True
PATH0064,LRN0064,GOAL0064,Full Stack Developer,2,16.5,14,1.2,48,active,True
PATH0065,LRN0065,GOAL0065,Data Engineer,3,18.5,5,3.7,12,active,True
PATH0066,LRN0066,GOAL0066,Cloud/DevOps Engineer,4,23.5,7,3.4,24,active,True
PATH0067,LRN0067,GOAL0067,Data Analyst,3,18.0,10,1.8,36,active,True
PATH0068,LRN0068,GOAL0068,Data Scientist,3,14.5,14,1.0,48,active,True
PATH0069,LRN0069,GOAL0069,Machine Learning Engineer,3,30.5,5,6.1,12,active,True
