resource_id,title,provider,resource_type,format,primary_skill_id,primary_skill_name,domain,difficulty_score,duration_minutes,language,quality_score,status
RES0001,Python Basics — Foundations,Great Learning,article,text,SK001,Python Basics,Programming Foundations,0.05,120,en,0.82,active
RES0002,Python Basics — Core Concepts,Simplilearn,book,text,SK001,Python Basics,Programming Foundations,0.15,210,en,0.77,active
RES0003,Python Basics — Applied Practice,Naukri Learning,video_course,video,SK001,Python Basics,Programming Foundations,0.27,300,en,0.83,active
RES0004,Git & Version Control — Foundations,NPTEL,practice_set,hands_on,SK002,Git & Version Control,Programming Foundations,0.05,120,en,0.9,active
RES0005,Git & Version Control — Core Concepts,Scaler,article,text,SK002,Git & Version Control,Programming Foundations,0.15,210,en,0.76,active
RES0006,Git & Version Control — Applied Practice,Coursera India,book,text,SK002,Git & Version Control,Programming Foundations,0.27,300,en,0.76,active
RES0007,Python Data Structures — Foundations,IIT Madras Online Degree,interactive_lab,hands_on,SK003,Python Data Structures,Programming Foundations,0.25,240,en,0.91,active
RES0008,Python Data Structures — Core Concepts,Infosys Springboard,practice_set,hands_on,SK003,Python Data Structures,Programming Foundations,0.35,330,en,0.84,active
RES0009,Python Data Structures — Applied Practice,GeeksforGeeks,article,text,SK003,Python Data Structures,Programming Foundations,0.47,420,en,0.74,active
RES0010,Java Basics — Foundations,Coding Ninjas,video_course,video,SK004,Java Basics,Programming Foundations,0.25,240,en,0.82,active
RES0011,Java Basics — Core Concepts,TCS iON,interactive_lab,hands_on,SK004,Java Basics,Programming Foundations,0.35,330,en,0.74,active
RES0012,Java Basics — Applied Practice,upGrad,practice_set,hands_on,SK004,Java Basics,Programming Foundations,0.47,420,en,0.74,active
RES0013,OOP in Python — Foundations,Great Learning,book,text,SK005,OOP in Python,Programming Foundations,0.45,360,en,0.8,active
RES0014,OOP in Python — Core Concepts,Simplilearn,video_course,video,SK005,OOP in Python,Programming Foundations,0.55,450,en,0.63,active
RES0015,OOP in Python — Applied Practice,Naukri Learning,interactive_lab,hands_on,SK005,OOP in Python,Programming Foundations,0.67,540,en,0.64,active
